site,site_long,pi,lat_icos,lon_icos,Utc Offset,classid_icos,Projects,Fluxes,Mean Annual Temperature,Mean Annual Precpitation,Slope,Exposure,Prevailing Wind Direction,Mean Water Table Depth,Days with snow cover,,
BE-Maa,Maasmechelen,Marilyn Roland,50.979868,5.631851,1,CSH,,,10.9,816.4,,,,-9999,,,
BE-Vie,Vielsalm,Caroline Vincke,50.304962,5.998099,1,MF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6),BVOCs-E|CO2-E|H-E|H2O-E|LE-E,7.8,1062,"Medium Slope (>2 %, <5%)",NW,WSW,-9999,30,,
BE-Wm1,Westmalle1,Tim De Meulder,51.2964325,4.657248497,,CRO,,CO2-E|H-E|LE-E,10.9,932.9,Flat,FLAT,SW,-9999,,,
BE-Wm2,Westmalle2,Tim De Meulder,51.29747009,4.662438393,,CRO,,CO2-E|H-E|LE-E,10.9,932.9,Flat,FLAT,SW,-9999,,,
BF-Bon,Bontioli,Ulrike Falk,10.865556,-3.072778,,SAV,,,26.1,,,,,-9999,,,
BF-Btd,Boudtenga,Ulrike Falk,12.46,-1.25,,CRO,,,,,,,,-9999,,,
BG-Crp,Chirpan,Eram Artinyan,42.2149,25.2817,,CRO,,CO2-E|H-E|LE-E,12,598,Flat,FLAT,NE,-9999,21,,
BG-Rzn,Rozhen,Eram Artinyan,41.6947,24.7387,,ENF,,CO2-E|H-E|LE-E,5.7,1059,Hilltop,FLAT,NNW,-9999,125,,
BJ-Nan,Nangatchori,Laurent Kergoat,9.646983333,1.740883333,1,CRO,,,26,1200,,,,-9999,,,
BW-GhG,Ghanzi Grass Site,Christopher Williams,-21.51,21.74,,GRA,,,,,,,,-9999,,,
BW-GhM,Ghanzi Mixed Site,Christopher Williams,-21.2,21.75,,SAV,,,,,,,,-9999,,,
BW-Ghz,Ghanzi/Okwa River Crossing,Almut Arneth,-22.40916667,21.71305556,2,OSH,,,,,,,,-9999,,,
BW-Gum,Guma,Carole Helfter,-18.96472222,22.37111111,2,WET,,CH4-E|CO2-E|H-E|H2O-E|LE-E,21,460,Undulated/Variable,E,ESE,-9999,0,,
BW-Kvb,Kavimba,Peter Eliasson,-18.1076,24.637,,SAV,,CH4|CO2-E/C|H|LE,23,55,Flat,FLAT,ENE,40,,,
BW-Ma1,Maun,Almut Arneth| Elmar Veenendaal,-19.9165,23.56033333,2,SAV,CarboAfrica (EU-FP6),,22,464,,,,-9999,,,
BW-Mkt,Maun - Kalahari Transect,Almut Arneth,-19.923,23.594,2,SAV,,,,,,,,-9999,,,
BW-Nxr,Nxaraga,Carole Helfter,-19.54805556,23.17916667,2,GRA,,CH4-E/C|CO2-E/C|H-E|H2O-E|LE-E,21,460,Undulated/Variable,S,SE,-9999,0,,
CD-Ygb,Yangambi,Pascal Boeckx,0.814444,24.502472,2,EBF,,CH4-E|CO2-E|H-E|LE-E|N2O-E,NULL,,NULL,NULL,NULL,-9999,,,
CG-Hin,Hinda,Yann Nouvellon,-4.68111111,12.0036111,1,EBF,CarboAfrica (EU-FP6),,23.7,1200,"Medium Slope (>2 %, <5%)",270°,,-9999,,,
CG-Kis,Kissoko,Yann Nouvellon,-4.791388889,11.98222222,1,EBF,CarboAfrica (EU-FP6),,23.5,1076,Gentle slope (<2 %),90°,,-9999,,,
CG-Tch,Tchizalamou,Blandine Caquet,-4.289166667,11.65641667,1,SAV,CarboAfrica (EU-FP6),,25.7,1150,,,,-9999,,,
CH-Aws,Alp Weissenstein,Nina Buchmann,46.583194,9.790417,1,GRA,,CO2-E|H-E|LE-E,2.3,918,Flat,,,-9999,200,,
CH-BaA,Basel Aeschenplatz,Christian Feigenwinter,47.55123,7.5956,1,URB,,CO2-E|H-E|LE-E,10.9,778,Flat,FLAT,WNW,-9999,15,,
CH-BaK,Basel Klingelbergstrasse,Christian Feigenwinter,47.56173,7.58049,1,URB,,CO2-E|H-E|LE-E,10.9,778,Flat,FLAT,WNW,-9999,15,,
CH-Cha,Chamau,Nina Buchmann| EFDC Staff,47.21022222,8.410444444,1,GRA,CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),CH4-E|CO2-E|H-E|LE-E|N2O-E,9.5,1136,,,,-9999,,,
CH-Dav,Davos,Nina Buchmann| EFDC Staff,46.81533,9.85591,1,ENF,CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),CH4-E|CO2-E|H-E|LE-E|N2O-E,2.8,1062,,,,-9999,,,
CH-Dsc,Dischma,Lutz Merbold,46.7896991,9.864438203,1,GRA,,CO2-E|H-E|LE-E,2.8,1022,Flat,,315,-9999,155,,
CH-Frk,Furka,Georg Wohlfahrt,46.577752,8.421466,1,GRA,,CO2-E|H-E|H2O-E|LE-E,0.4,1450,Strong Slope (>10%),SE,W,-9999,210,,
CH-Fru,Früebüel ,Nina Buchmann| EFDC Staff,47.11583333,8.537777778,1,GRA,CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),CH4-C|CO2-E/C|H-E|LE-E|N2O-C,7.2,1651,Hilltop,,,-9999,,,
CH-Lae,Laegern,Nina Buchmann,47.478333,8.364389,1,MF,CarboEuropeIP (EU-FP6)|GHG-Europe (EU-FP7),CO2-E/C|H-E|LE-E,8.3,1100,Strong Slope (>10%),170°,SW-NE,-9999,,,
CH-Oe1,Oensingen grassland,Ammann Christoph ,47.28583333,7.731944444,1,GRA,GreenGrass (EU-FP5)|CarboEuropeIP (EU-FP6),,9,1100,Flat,ca. 50 deg,SW and NE,-9999,,,
CH-Oe2,Oensingen crop,Nina Buchmann,47.286417,7.73375,1,CRO,CarboEuropeIP (EU-FP6)|CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),CO2-E|H-E|H2O|LE-E,9.8,1155,Flat,Flat,SW-NE,-9999,,,
CH-Rtb,Rietholzbach,Sonia I. Seneviratne,47.3804,8.9934,1,GRA,,CO2-E|H-E|LE-E|Other-E,7.1,1434,Undulated/Variable,S,W,4.5,60,,
CH-See,Seebodenalp,Werner Eugster,47.0567,8.4644,,GRA,,CO2-E|H-E|LE-E,,,,,,-9999,,,
CR-AqC,Aquiares Coffee-Flux,Olivier Roupsard,9.93833,-83.72861,-6,EBF,,CO2-E|H-E|H2O-E|Isotopes|LE-E|N2O-C,19.45,3207,Valley,SE,SSW,5,0,,
CZ-BK1,Bily Kriz forest,Ladislav Sigut,49.50207615,18.53688247,1,ENF,CzeCOS (LM2023048),CO2-E|CO2-C|H-E|LE-E,6.7,1316,Strong Slope (>10%),184‘ from N,S,-9999,,,
CZ-BK2,Bily Kriz grassland,Marian Pavelka,49.49443,18.54285,1,GRA,CarboEuropeIP (EU-FP6)|CarboMont (EU-FP5)|GHG-Europe (EU-FP7),CO2-E|CO2-C|H-E|LE-E,6.7,1316,,SE,N,-9999,,,
CZ-KrP,Kresin u Pacova,Manuel Acosta,49.573257,15.078773,1,CRO,,CO2-E|H-E|LE-E,7.1,620,"Significant Slope (>5%, <10%)",,0,-9999,,,
CZ-Lnz,Lanzhot,Natalia Kowalska,48.6815483,16.9463317,1,MF,CzeCOS (LM2023048),CO2-E|CO2-C|H-E|LE-E,9.3,550,,,0,-9999,,,
CZ-RAJ,Rajec,Ladislav Sigut,49.4437236,16.6965125,1,ENF,CzeCOS (LM2023048),CO2-E|H-E|LE-E,7.1,681,"Medium Slope (>2 %, <5%)",ENE,NW,-9999,55,,
CZ-Stn,Stitna,Ladislav Sigut,49.035975,17.9699,1,DBF,CzeCOS (LM2023048)|CzeCOS (LM2023048),CO2-E|H-E|LE-E,8.7,685,"Significant Slope (>5%, <10%)",SW,SSE,-9999,71,,
CZ-wet,Trebon (CZECHWET),Jiri Dusek,49.02465,14.77035,1,WET,CarboEuropeIP (EU-FP6),CH4-C|CO2-E|CO2-C|H-E|LE-E,7.7,604,Flat,,,-9999,,,
DE-Akm,Anklam,Christian Bernhofer,53.86617,13.68342,1,WET,,CO2-E|H-E|H2O-E,8.7,558,Flat,,WSW,-9999,,,
DE-Amv,Amtsvenn,Mana Gharun,52.1757,6.95543,,WET,,CH4-C|CO2-E|H-E|LE-E,NULL,,Flat,NULL,NULL,-9999,,,
DE-Bay,Bayreuth,Christoph K Thomas,50.14194,11.86694,1,ENF,EuroFlux (EU-FP4),,5.8,885,,,,-9999,,,
DE-BeC,Berlin TU Campus Charlottenburg,Fred Meier,52.512283,13.327855,1,URB,,CO2-E|H-E|LE-E,10.1,590,Flat,FLAT,W,-9999,,,
DE-BeR,Berlin-Rothenburgstrasse,Fred Meier,52.457232,13.315827,1,URB,,CO2-E|H-E|LE-E,10.1,590,Flat,FLAT,W,-9999,,,
DE-Bou,Bourtanger Moor,Christian Brümmer,52.655284,7.183765,,WET,,CH4-C|CO2-E|H-E|LE-E|N2O-C,9.7,813,Flat,,,-9999,,,
DE-Brs,Braunschweig,Mathias Herbst,52.29663,10.44871,,CRO,,CO2-E|H-E|LE-E,8.9,624,Flat,FLAT,WSW,-9999,,,
DE-Dgw,Dagowsee,Torsten Sachs,53.1514092,13.0542746,1,WAT,,CH4-E|CO2-E|H-E|H2O-E|LE-E,9.02,602.9,Flat,Flat,SW,-9999,30,,
DE-Fen,Fendt,Rainer Steinbrecher| Hans Peter Schmid ,47.83292,11.06056,1,GRA,TERENO|ICOS,CO2-E|H-E|LE-E,8.4,1081,Flat,FLAT,230,-9999,67,,
DE-Geb,Gebesee,Christian Brümmer,51.09973,10.91463,1,CRO,CarboEuropeIP (EU-FP6)|IMECC (EU-FP6),CO2-E|H-E|LE-E,8.5,470,Flat,-,WSW,-9999,,,
DE-Gri,Grillenburg,Christian Bernhofer,50.95004,13.51259,1,GRA,CarboEuropeIP (EU-FP6),CO2-E|H-E|H2O-E|LE-E,8.4,877,Flat,,WSW,-9999,67,,
DE-GsB,Grosses Bruch,Corinna Rebmann ,52.029647,11.10478,1,GRA,,CH4-E|CO2-E/C|H-E|LE-E,,,,,230,-9999,,,
DE-Gwg,Graswang,Hans Peter Schmid,47.57083,11.03261,1,GRA,,CO2-E|H-E|LE-E,6.8,1531,Flat,FLAT,230,-9.68,112,,
DE-Hai,Hainich,Olaf Kolle| Alexander Knohl,51.0794084,10.4520894,1,DBF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|ICOS-D|University Goettingen,CO2-E|H-E|Isotopes-C|LE-E,8.3,720,2.5,0,240,-9999,,,
DE-Har,Hartheim,Andreas Christen,47.933,7.5981,1,ENF,,CO2-E|H-E|LE-E,10.6,641,Flat,FLAT,S,7,0,,
DE-Hdn,Heydenhof,Torsten Sachs,53.868253,13.268543,1,CRO,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,-9999,,,
DE-Hmm,Himmelmoor,Lars Kutzbach,53.739807,9.848723,,WET,,CH4-E|CO2-E|H-E|LE-E,,,,,SSW,-9999,,,
DE-HoH,Hohes Holz,Corinna Rebmann ,52.08656,11.22235,1,DBF,,CO2-E/C|H-E|LE-E,9.1,563,flat,FLAT,W,8.5,10,,
DE-Hte,Huetelmoor,Gerald Jurasinski,54.210278,12.176111,1,WET,,CH4-E|CO2-E|H-E|H2O-E|LE-E,9.2,645,FLAT,NW,W,0.4,5,,
DE-Hzd,Hetzdorf,Christian Bernhofer,50.96381,13.48978,1,DBF,,CO2-E|H-E|H2O-E|LE-E,7.8,901,"Medium Slope (>2 %, <5%)",N,S,-9999,,,
DE-Kan,Kannenbruch,Werner Kutsch,53.784328,10.604899,,DBF,,CO2-E|CO2-C|H-E|LE-E,,,,,,-9999,,,
DE-Kie,Kienhorst,Alexander Russ,52.97343,13.64393,,ENF,,CO2-E|H-E|LE-E,8.72,608.8,Flat,FLAT,SSW,-9999,17,,
DE-Kli,Klingenberg,Christian Bernhofer,50.89306,13.52238,1,CRO,CarboEuropeIP (EU-FP6),CO2-E|H-E|H2O-E|LE-E,7.6,842,,W,WSW,-9999,,,
DE-Lkb,Lackenberg,Rainer Steinbrecher,49.09961667,13.30466667,1,ENF,StMUV|NPV Bavarian Forest|TERENO,CO2-E|H-E|LE-E,4,1599,Hilltop,FLAT,200,-9999,173,,
DE-Lnf,Leinefelde,Alexander Knohl,51.3282167,10.3678,1,DBF,,CO2-E|H-E|LE-E,,,,,,-9999,,,
DE-Me2,Mehrstedt 2,Axel Don,51.275366,10.65555,1,GRA,,,8.5,547,Gentle slope (<2 %),200‘ from N,SW,-9999,,,
DE-Meh,Mehrstedt,Axel Don,51.27530556,10.65547222,1,MF,CarboEuropeIP (EU-FP6),,7.8,570,"Medium Slope (>2 %, <5%)",200‘ from N,SW,-9999,,,
DE-Msr,Mooseurach,Matthias Drösler,47.809181,11.456168,1,ENF,,CH4-C|CO2-E/C|N2O-C,,,,,,-9999,,,
DE-Obe,Oberbärenburg,Christian Bernhofer,50.78666,13.72129,1,ENF,,CO2-E|H-E|H2O-E|LE-E,5.5,996,"Significant Slope (>5%, <10%)",E,WNW,-9999,,,
DE-Okd,Oberklenkendorf,Christian Brümmer,53.412597,9.092467,,GRA,,CH4-E|CO2-E|H-E|LE|N2O-E,NULL,,Flat,FLAT,NULL,-9999,,,
DE-RbW,Rottenbuch West,Rainer Steinbrecher,47.72991,10.96898,1,GRA,TERENO,CO2-E|H-E|LE-E,,,Flat,FLAT,,-9999,,,
DE-Rns,Reinshof,Alexander Knohl,51.494952,9.932118,1,CRO,,CO2-E|H-E|H2O-E|LE-E,8.7,645,Flat,FLAT,SW,1.5,10,,
DE-RuR,Rollesbroich,Marius Schmidt,50.6219142,6.3041256,1,GRA,Forschungszentrum Juelich|Agrosphere Institute (IBG-3)|Tereno project (www.tereno.net)|Forschungszentrum Juelich|Agrosphere Institute (IBG-3),CO2-E|H-E|H2O-E|LE-E,7.7,1033,"Medium Slope (>2 %, <5%)",NNW,SSW,-9999,10,,
DE-RuS,Selhausen Juelich,Marius Schmidt| Alexander Graf,50.86590702,6.447144704,1,CRO,Forschungszentrum Juelich|Agrosphere Institute (IBG-3)|TERENO project (www.tereno.net)|Forschungszentrum Juelich|Agrosphere Institute (IBG-3),CO2-E|H-E|H2O-E|LE-E,10,700,FLAT,WSW,WSW,1.5,10,,
DE-RuW,Wustebach,Marius Schmidt,50.50492685,6.330962475,1,ENF,FZ Jülich, Agrosphere (IBG-3)|Univ. Trier, Umweltmeteorologie|Tereno project (www.tereno.net),CO2-E|H-E|LE-E,7.5,1250,"Medium Slope (>2 %, <5%)",90,200,-9999,50
DE-Sch,Schönau,John Tenhunen,47.6,12.96666667,,GRA,,,7.2,1400,,,,-9999,,,
DE-Seh,Selhausen,Karl Schneider,50.8706233,6.44965306,1,CRO,,,9.9,693,0 - 4°,W,,-9999,,,
DE-SfN,Schechenfilz Nord,Hans Peter Schmid,47.806389,11.3275,1,WET,,CH4-E|CO2-E|H-E|LE-E,8.6,1127,Flat,,130,0.06,73,,
DE-SfS,Schechenfilz Sued,Janina Klatt,47.80629,11.32757,1,WET,,CO2-E|H-E|H2O-E|LE-E,8.6,1127,Flat,NULL,NULL,-9999,73,,
DE-Sng,Solling,Alexander Knohl,51.75813,9.59333,,ENF,,CO2-E|H-E|LE-E,,,,,,-9999,,,
DE-Spw,Spreewald,Christian Bernhofer,51.89225,14.03369,1,WET,,CO2-E|H-E|H2O-E|LE-E,8.7,558,Flat,,WSW,-9999,,,
DE-Tha,Tharandt,Christian Bernhofer,50.96256,13.56515,1,ENF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboExtreme (EU-FP7)|ICOS,CO2-E/C|H-E|H2O-E|LE-E,8.2,843,Gentle slope (<2 %),S,W,-12,72,,
DE-UtM,Uchter Moor,Carsten Schaller,52.5083,8.825833,1,WET,,CH4-E|CO2-E|H-E|LE-E|N2O-E|O3-E,9.6,703,Flat,FLAT,SW,-9999,,,
DE-Wet,Wetzstein,Corinna Rebmann | Olaf Kolle,50.4535,11.45753333,1,ENF,CarboEuropeIP (EU-FP6),,5.9,840,Undulated/Variable,,SW,-9999,,,
DE-Zrk,Zarnekow,Torsten Sachs,53.875943,12.88901,1,WET,,CH4-E|CO2-E|H-E|H2O-E|LE-E,8.7,584,Flat,FLAT,SW,-9999,,,
DK-Eng,Enghave,Kim Pilegaard,55.69052778,12.19175,1,GRA,,,8,613,Flat,,WSW,-9999,,,
DK-Fou,Foulum,Joergen Olesen,56.48419952,9.587220192,1,CRO,CarboEuropeIP (EU-FP6),,8,,1°-2°,-,SW-W,-9999,,,
DK-Gds,Gludsted Plantage,Thomas Friborg,56.0737,9.3341,1,ENF,,CO2-E|H-E|LE-E,8.5,1000,Flat,FLAT,WSW,5,25,,
DK-Lva,Rimi,Kim Pilegaard,55.68330002,12.08329964,1,GRA,CarboEuropeIP (EU-FP6)|GreenGrass (EU-FP5),CO2-E|H-E|LE-E,8,600,,,,-9999,,,
DK-MkA,Morke E-AR,Søren O. Petersen,56.38131,10.39461,,CRO,,CH4-C|CO2-C|N2O-C,9.2,579,Flat,,,111,,,
DK-MkG,Morke E-PG,Søren O. Petersen,56.38178,10.40312,,GRA,,CH4-C|CO2-C|N2O-C,9,579,Undulated/Variable,,,40,,,
DK-MkR,Morke E-RG,Søren O. Petersen,56.38179,10.4006,,CRO,,CH4-C|CO2-C|N2O-C,9.2,579,Flat,,,43,,,
DK-RCT,Risø Campus Tower,Andreas Ibrom,55.694101,12.088284,1,URB,,H-E|N2O-E,,600,Undulated/Variable,,WSW,-9999,,,
DK-RCW,Risø Campus Willow ,Andreas Ibrom,55.680682,12.101398,1,DBF,,CO2-E|H-E|LE-E|N2O-E,,,,,,-9999,,,
DK-Ris,Risbyholm,Henrik Sogaard,55.53027778,12.09722222,1,CRO,CarboEuropeIP (EU-FP6),,8,580,,,,-9999,,,
DK-SkA,Skjern W-AR,Søren O. Petersen,55.93777,8.44656,,CRO,,CH4-C|CO2-C|N2O-C,9.3,913,Flat,,,48,,,
DK-SkG,Skjern W-PG,Søren O. Petersen,55.94116,8.447355,,GRA,,CH4-C|CO2-C|N2O-C,9.6,913,Flat,,,42,,,
DK-Skj,Skjern,Thomas Friborg,55.91273,8.40481,1,WET,,CH4-E|CO2-E|H-E|LE-E,8.4,1000,Flat,W,WSW,0.5,20,,
DK-Sor,Soroe,Andreas Ibrom,55.4858694,11.6446444,1,DBF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|CarboExtreme (EU-FP7),,8.2,660,,,,-9999,,,
DK-SVA,Store Vildmose N-AR,Søren O. Petersen,57.23313,9.84435,,CRO,,CH4-C|CO2-C|N2O-C,8.7,702,Flat,,,70,,,
DK-SVG,Store Vildmose N-PG,Søren O. Petersen,57.22988,9.83291,,GRA,,CH4-C|CO2-C|N2O-C,8.6,702,Flat,,,61,,,
DK-SVR,Store Vildmose N-RG,Søren O. Petersen,57.23312,9.84462,,CRO,,CH4-C|CO2-C|N2O-C,9.1,702,Flat,,,70,,,
DK-Ulb,Ulborg,Kim Pilegaard,56.29102778,8.428027778,,ENF,,,7.7,960,,,,-9999,,,
DK-Vng,Voulundgaard,Thomas Friborg,56.0374765,9.16070962,1,CRO,,CO2-E|H-E|LE-E|N2O-E,8.5,9500,Flat,FLAT,WSW,5,20,,
EE-Aar,Aardlapalu grassland,Ülo Mander,58.31305,26.74388,,GRA,,CH4-C|CO2-C|N2O-C,8.9,620,,,,-9999,,,
EE-Aga,Agali Forest Station,Kaido Soosaar,58.287472,27.283525,,DBF,,CH4-E/C|CO2-E/C|N2O-E/C,NULL,,Flat,NULL,NULL,-9999,,,
EE-Hi1,Hiiesoo abandoned peat extraction,Ülo Mander,59.3505,27.1008,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Hi2,Hiiesoo active peat extraction,Ülo Mander,59.3519,27.1016,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Jvs,Järvselja,Steffen M. Noe,58.274211,27.309952,,MF,,Aerosols-C|BVOCs|CH4|CO2-E|LE-E|O3,,,,,,-9999,,,
EE-Ka1,Kasesoo abandoned peat extraction,Ülo Mander,59.1411,27.6531,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ka2,Kasesoo active peat extraction,Ülo Mander,59.1459,27.6636,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ka3,Kasesoo bog,Ülo Mander,59.1417,27.6778,,WET,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ku1,Kuresoo bog wooded,Ülo Mander,58.4736,25.2125,,WET,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
EE-Ku2,Kuresoo bog,Ülo Mander,58.4744,25.2008,,WET,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
EE-Lv1,Lavassaare abandoned peat extraction,Ülo Mander,58.5727,24.3819,,BSV,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Lv2,Lavassaare drained fen,Ülo Mander,58.5719,24.3908,,GRA,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Lv3,Lavassaare grass cultivation,Ülo Mander,58.573,24.3858,,WET,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Mam,Maima bog,Ülo Mander,58.5791,24.4266,,WET,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Pdv,Pudivere grassland,Ülo Mander,59.0866,26.3744,,GRA,,CH4-C|CO2-C|N2O-C,7.9,653,,,,-9999,,,
EE-Ph1,Puhatu abandoned peat extraction,Ülo Mander,59.2658,27.6316,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ph2,Puhatu active peat extraction,Ülo Mander,59.2659,27.6314,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Pts,Pitsalu,Kuno Kasak,58.56331611,24.36888762,2,WET,WATERLANDS,CH4-E|CO2-E|H-E|LE-E,10.6,870.5,Flat,NULL,SW,-9999,,,
EE-Rng,Ruhingu,Kuno Kasak,57.913145,26.694047,,WET,,CH4-E|CO2-E|H-E|LE-E,6.8,107.1,Flat,NULL,SW,-9999,,,
EE-Rok,Roka,Ülo Mander,58.245336,27.299731,,DBF,,CH4-C|CO2-C|N2O-C,5,610,,,,-9999,,,
EE-San,Sangla bog forest,Ülo Mander,58.32704,26.21819,,DBF,,CH4-C|CO2-C|N2O-C,8.9,620,,,,-9999,,,
EE-Stg,Soontaga Forest Station,Kaido Soosaar,58.023561,26.07074,,ENF,,CO2-E,NULL,,Flat,NULL,WSW,-9999,,,
EE-Vg1,Valgeraba bog forest,Ülo Mander,58.43507,25.23629,,DBF,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
EE-Vg2,Valgeraba bog,Ülo Mander,58.43662,25.23675,,WET,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
ES-Abr,Albuera,Mirco Migliavacca,38.701839,-6.785881,1,SAV,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,NULL,-9999,,,
ES-Agu,Aguamarga,Francisco Domingo Poveda,36.940046,-2.033208,1,OSH,GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,,,,,,-9999,,,
ES-Amo,Amoladeras,Francisco Domingo Poveda,36.833608,-2.252318,1,OSH,GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,,0,,,,-9999,,,
ES-AP1,Almodóvar del Pinar 1,Eva María Rubio Caballero,39.680985,-1.842411111,,ENF,,CO2-E|CO2-C|H-E|LE-E,12.6,507,"Medium Slope (>2 %, <5%)",,,-9999,,,
